OverallQual,GrLivArea,TotalBsmtSF,GarageCars,FullBath,YearBuilt,YearRemodAdd,LotArea,Fireplaces,Neighborhood,BldgType,HouseStyle,CentralAir,SalePrice
6,1876.0,1240.0,2.0,2,1928,1950,13378.0,0,Crawford,1Fam,1Story,Y,391800.0
5,2278.0,2289.0,3.0,3,2023,2024,6413.0,1,CollegeCreek,Duplex,2Story,Y,567300.0
4,1245.0,1047.0,2.0,1,2006,2014,2986.0,0,Somerset,1Fam,2Story,Y,379800.0
8,1279.0,1056.0,4.0,1,1969,1969,11333.0,1,CollegeCreek,TwnhsE,1Story,Y,513500.0
5,1348.0,1095.0,2.0,2,1996,2009,14675.0,0,Edwards,1Fam,1Story,Y,371100.0
6,2183.0,1866.0,2.0,3,1979,2007,11195.0,1,Edwards,1Fam,1Story,Y,503400.0
7,892.0,957.0,2.0,1,2015,2024,6502.0,2,NorthAmes,1Fam,1Story,Y,434500.0
5,631.0,552.0,2.0,1,1934,1953,5077.0,0,Mitchell,Duplex,1Story,N,203100.0
6,1618.0,1742.0,2.0,2,1955,1969,11467.0,1,Sawyer,1Fam,1Story,Y,466200.0
6,1394.0,962.0,2.0,1,1982,1982,9612.0,1,Crawford,TwnhsE,1Story,Y,427500.0
7,1663.0,1600.0,2.0,2,1988,2004,8409.0,1,Northridge,Twnhs,1Story,Y,545800.0
7,2057.0,2070.0,4.0,2,2005,2024,22275.0,1,Somerset,1Fam,2Story,Y,615200.0
6,1348.0,1267.0,2.0,1,1999,2024,5578.0,0,Crawford,1Fam,SLvl,Y,424900.0
6,793.0,716.0,2.0,1,1960,1989,21753.0,0,NorthAmes,1Fam,2Story,Y,355700.0
6,2439.0,2152.0,2.0,2,1993,2005,9099.0,0,NorthAmes,1Fam,1Story,Y,499400.0
4,1001.0,1031.0,1.0,1,1943,1972,3577.0,1,NorthAmes,TwnhsE,1Story,N,248700.0
6,1135.0,0.0,2.0,1,2001,2024,8188.0,3,CollegeCreek,Twnhs,SLvl,N,351200.0
9,2284.0,1510.0,4.0,2,1968,1982,14469.0,1,OldTown,1Fam,1Story,Y,612700.0
5,1339.0,1372.0,2.0,2,1937,1952,7461.0,0,CollegeCreek,1Fam,1Story,Y,367800.0
5,1473.0,1189.0,1.0,2,1926,1950,4284.0,1,Sawyer,1Fam,2Story,Y,339800.0
5,1703.0,1238.0,2.0,2,1923,1950,8248.0,1,OldTown,1Fam,2Story,Y,341000.0
7,2115.0,2189.0,2.0,3,2009,2024,5834.0,0,CollegeCreek,TwnhsE,2Story,Y,577900.0
7,1520.0,1240.0,3.0,2,1988,1998,11452.0,0,Edwards,1Fam,1Story,Y,472600.0
6,2218.0,2227.0,3.0,3,1979,1986,13183.0,0,NorthAmes,1Fam,1Story,Y,537700.0
5,603.0,441.0,2.0,1,1974,1993,5281.0,1,Sawyer,1Fam,SLvl,Y,294800.0
6,1899.0,1143.0,1.0,2,1935,1950,6292.0,1,NorthAmes,1Fam,1Story,Y,406900.0
4,1067.0,905.0,1.0,1,2018,2024,13073.0,0,Mitchell,1Fam,2Story,Y,306500.0
6,2156.0,1402.0,2.0,2,2009,2020,5829.0,0,Sawyer,1Fam,2Story,Y,486000.0
7,1720.0,1681.0,3.0,2,2001,2020,5213.0,1,NorthAmes,1Fam,2Story,Y,533300.0
4,1137.0,839.0,1.0,1,1948,1963,4967.0,2,NorthAmes,1Fam,1Story,Y,259000.0
4,1698.0,1395.0,1.0,2,1942,1955,10679.0,1,Sawyer,TwnhsE,1Story,Y,350700.0
8,2115.0,1361.0,3.0,3,1933,1950,10452.0,1,Gilbert,1Fam,2Story,Y,569500.0
5,1770.0,1316.0,2.0,1,1998,2024,6361.0,0,Gilbert,1Fam,1.5Fin,Y,431500.0
8,1308.0,1296.0,1.0,1,1968,1988,8978.0,1,Sawyer,1Fam,1.5Fin,Y,463400.0
6,1377.0,931.0,1.0,1,1952,1968,19217.0,0,NorthAmes,1Fam,1Story,Y,330000.0
6,1578.0,1457.0,2.0,2,1944,1973,5503.0,1,OldTown,1Fam,1Story,N,365500.0
7,1643.0,1739.0,3.0,2,1940,1950,3375.0,0,NorthAmes,1Fam,1.5Fin,Y,495500.0
5,1815.0,1706.0,1.0,2,1936,1952,11243.0,1,Northridge,1Fam,2Story,N,435200.0
6,734.0,738.0,2.0,1,1942,1960,8474.0,0,Somerset,1Fam,1.5Fin,Y,348000.0
6,1720.0,1126.0,2.0,2,1976,1997,6279.0,1,CollegeCreek,1Fam,1Story,Y,459500.0
4,1298.0,942.0,2.0,1,2000,2000,12407.0,0,NorthAmes,1Fam,2Story,Y,344700.0
7,1308.0,1370.0,3.0,2,1977,2006,13624.0,0,CollegeCreek,2fmCon,2Story,Y,499300.0
6,1268.0,1214.0,2.0,1,1933,1959,2969.0,1,CollegeCreek,1Fam,2Story,N,362500.0
6,1490.0,1370.0,2.0,2,2012,2023,6462.0,0,Gilbert,1Fam,1Story,Y,469600.0
4,600.0,0.0,1.0,1,1939,1953,28531.0,2,Somerset,1Fam,1Story,Y,283000.0
8,1445.0,1166.0,3.0,2,1949,1966,11988.0,1,Northridge,1Fam,2Story,Y,577500.0
7,1292.0,804.0,2.0,1,1938,1965,12557.0,1,Edwards,1Fam,1Story,Y,418100.0
7,1884.0,1869.0,3.0,2,1972,2001,16098.0,1,NorthAmes,1Fam,1Story,Y,521800.0
6,1242.0,1167.0,2.0,2,2022,2024,9032.0,1,Gilbert,2fmCon,SLvl,Y,475500.0
4,1330.0,1112.0,2.0,1,1975,1988,13338.0,1,Sawyer,1Fam,1Story,Y,324600.0
9,2468.0,2591.0,4.0,2,1996,2024,12823.0,2,Edwards,1Fam,2Story,Y,709100.0
6,1998.0,1535.0,3.0,2,2001,2001,11725.0,0,Sawyer,1Fam,1Story,Y,498800.0
5,1879.0,1404.0,2.0,2,1942,1954,7624.0,0,Edwards,1Fam,2Story,Y,370000.0
7,1450.0,1503.0,3.0,1,1981,2010,9760.0,1,Edwards,1Fam,SLvl,Y,464500.0
8,1968.0,1965.0,3.0,2,1952,1966,6673.0,0,OldTown,1Fam,1Story,Y,542900.0
6,1482.0,1271.0,3.0,2,2022,2024,9013.0,0,NorthAmes,1Fam,1Story,Y,453100.0
8,1658.0,1103.0,3.0,2,2023,2024,4993.0,0,NorthAmes,Twnhs,1Story,Y,572000.0
8,1912.0,1353.0,3.0,3,1937,1956,6031.0,0,NorthAmes,1Fam,1Story,Y,511400.0
5,1249.0,1159.0,2.0,1,1992,2001,7776.0,1,Somerset,1Fam,2Story,Y,435400.0
5,2127.0,1686.0,1.0,2,1952,1965,5587.0,1,CollegeCreek,1Fam,1.5Fin,Y,456300.0
7,1593.0,1622.0,2.0,3,1951,1956,6957.0,3,Edwards,1Fam,1Story,Y,470200.0
2,1520.0,1634.0,1.0,1,1980,1993,8251.0,1,Crawford,1Fam,1Story,Y,326200.0
6,2191.0,2197.0,3.0,2,1973,1996,10950.0,0,CollegeCreek,1Fam,1Story,Y,529300.0
4,1853.0,1462.0,1.0,1,1936,1960,14395.0,0,OldTown,1Fam,2Story,Y,318700.0
5,908.0,903.0,2.0,1,1938,1959,7102.0,0,Sawyer,TwnhsE,1Story,Y,293600.0
6,1767.0,1371.0,3.0,2,2010,2021,17458.0,1,CollegeCreek,1Fam,2Story,N,503100.0
6,1937.0,1324.0,,2,1989,1999,14318.0,0,NorthAmes,1Fam,2Story,Y,492000.0
5,1875.0,1156.0,3.0,2,2018,2024,11522.0,0,CollegeCreek,Twnhs,2Story,Y,474600.0
5,1032.0,818.0,0.0,2,2020,2024,9670.0,2,NorthAmes,1Fam,1Story,Y,346100.0
9,1544.0,1624.0,2.0,2,1953,1977,10505.0,1,Crawford,1Fam,2Story,Y,563300.0
9,2238.0,1610.0,3.0,3,2003,2022,16212.0,0,Sawyer,1Fam,1Story,Y,652900.0
4,1100.0,774.0,1.0,1,1944,1965,16511.0,0,Somerset,1Fam,1Story,Y,295800.0
8,1614.0,1751.0,3.0,2,1987,2010,17457.0,1,Northridge,1Fam,1.5Fin,Y,609400.0
6,2242.0,1373.0,2.0,3,1993,2017,9142.0,2,Sawyer,2fmCon,2Story,Y,539500.0
6,1560.0,1549.0,2.0,2,1993,2011,11819.0,0,NorthAmes,1Fam,1Story,Y,455000.0
6,1275.0,970.0,3.0,1,2007,2008,17532.0,0,Northridge,1Fam,1Story,Y,472900.0
5,1131.0,700.0,1.0,1,2004,2024,6556.0,1,Edwards,1Fam,1Story,Y,340200.0
7,1800.0,1906.0,2.0,2,1930,1950,7637.0,1,Sawyer,1Fam,1Story,Y,457600.0
6,1020.0,683.0,2.0,1,2010,2010,9027.0,1,Northridge,1Fam,1Story,Y,434200.0
5,1396.0,1223.0,1.0,2,1935,1950,14042.0,1,CollegeCreek,1Fam,1Story,Y,357000.0
4,1560.0,1150.0,0.0,2,2009,2024,14152.0,2,NorthAmes,Duplex,1Story,Y,397900.0
5,2046.0,1294.0,2.0,3,1980,1993,7979.0,0,CollegeCreek,1Fam,2Story,N,433000.0
4,1700.0,1062.0,2.0,2,2013,2021,4212.0,0,OldTown,1Fam,2Story,Y,330300.0
6,1280.0,842.0,3.0,2,1999,2000,10128.0,1,Sawyer,1Fam,2Story,Y,436500.0
4,1915.0,0.0,2.0,2,1926,1950,5658.0,1,Northridge,1Fam,1Story,Y,377100.0
6,1454.0,1425.0,3.0,2,1935,1957,4252.0,1,NorthAmes,1Fam,SLvl,Y,388900.0
8,1221.0,1029.0,4.0,2,2018,2022,4760.0,0,Edwards,1Fam,2Story,Y,503400.0
8,1668.0,1287.0,2.0,1,1935,1957,10543.0,1,OldTown,1Fam,2Story,Y,467600.0
6,2184.0,1767.0,3.0,2,1959,1987,17686.0,0,CollegeCreek,1Fam,2Story,Y,520000.0
6,1649.0,1755.0,2.0,3,1931,1955,9131.0,1,NorthAmes,1Fam,1.5Fin,Y,463900.0
9,1825.0,1926.0,4.0,2,1954,1961,9954.0,0,CollegeCreek,1Fam,2Story,Y,613700.0
7,2348.0,2249.0,3.0,2,1940,1955,16179.0,1,Crawford,Duplex,1Story,Y,561000.0
6,979.0,1020.0,3.0,2,1969,1990,4137.0,1,CollegeCreek,1Fam,2Story,N,377600.0
4,880.0,669.0,2.0,1,1962,1977,11615.0,0,Edwards,1Fam,2Story,Y,238700.0
7,981.0,776.0,2.0,1,2019,2024,8904.0,0,Gilbert,1Fam,2Story,Y,451800.0
7,1817.0,1648.0,3.0,2,1936,1955,11885.0,1,OldTown,2fmCon,2Story,Y,470800.0
5,1570.0,0.0,1.0,2,1951,1979,7032.0,1,Mitchell,Duplex,1Story,Y,321500.0
7,2308.0,1941.0,3.0,3,1960,1974,5949.0,0,Mitchell,1Fam,1Story,N,522600.0
6,1682.0,1346.0,2.0,3,1925,1950,9607.0,0,CollegeCreek,TwnhsE,1.5Fin,Y,426400.0
6,1410.0,1541.0,3.0,2,2007,2024,20427.0,0,Edwards,1Fam,2Story,Y,433100.0
3,1341.0,1355.0,2.0,2,1946,1950,13773.0,2,CollegeCreek,1Fam,2Story,Y,343200.0
6,1629.0,1332.0,2.0,1,1939,1950,6948.0,0,CollegeCreek,1Fam,1Story,Y,431200.0
7,958.0,923.0,3.0,1,1944,1965,4580.0,0,NorthAmes,1Fam,1Story,Y,412400.0
5,2638.0,,2.0,3,1985,1998,3862.0,1,Somerset,1Fam,1.5Fin,Y,557800.0
6,1798.0,1169.0,1.0,2,1928,1950,17293.0,1,Edwards,TwnhsE,2Story,Y,387100.0
5,1588.0,1233.0,2.0,2,2011,2024,5555.0,0,NorthAmes,1Fam,2Story,Y,420400.0
7,1918.0,1537.0,2.0,2,1972,1986,7610.0,3,CollegeCreek,1Fam,1Story,Y,534900.0
6,1878.0,1142.0,2.0,2,1980,1988,17337.0,1,Crawford,1Fam,2Story,Y,450200.0
5,1441.0,1452.0,1.0,2,1957,1974,3996.0,1,CollegeCreek,1Fam,1Story,Y,391100.0
8,1475.0,1150.0,2.0,2,1922,1950,18885.0,0,NorthAmes,1Fam,2Story,Y,448400.0
7,1912.0,1702.0,3.0,3,2003,2012,7889.0,2,Edwards,1Fam,1Story,Y,538200.0
5,1662.0,0.0,2.0,2,1989,2005,5043.0,0,Mitchell,1Fam,1Story,Y,375200.0
7,1320.0,907.0,2.0,2,2022,2024,7913.0,0,CollegeCreek,Duplex,2Story,Y,495600.0
7,2256.0,2357.0,3.0,3,2016,2024,6240.0,0,Gilbert,1Fam,1.5Fin,Y,602000.0
7,1783.0,1612.0,2.0,2,1974,1974,11164.0,1,Sawyer,1Fam,1Story,Y,488700.0
4,1727.0,1857.0,2.0,2,1920,1950,6476.0,1,CollegeCreek,1Fam,2Story,Y,376500.0
8,2325.0,2556.0,2.0,2,2020,2024,3443.0,1,Gilbert,1Fam,1Story,Y,652000.0
5,1509.0,1186.0,2.0,2,1989,2015,8020.0,0,OldTown,1Fam,1Story,Y,388300.0
6,1713.0,1284.0,2.0,2,1964,1974,4545.0,1,Somerset,1Fam,1Story,Y,476400.0
10,2240.0,2305.0,3.0,3,2017,2024,9919.0,1,Somerset,Twnhs,1Story,Y,750000.0
7,1356.0,1491.0,3.0,2,1966,1970,4946.0,0,Edwards,1Fam,2Story,Y,458500.0
6,1603.0,1466.0,2.0,2,1998,2004,7016.0,1,NorthAmes,2fmCon,1Story,Y,458400.0
3,1393.0,1390.0,1.0,1,1945,1963,9811.0,0,Northridge,TwnhsE,1Story,Y,366700.0
8,1338.0,1326.0,3.0,2,1933,1957,8053.0,1,CollegeCreek,1Fam,1.5Fin,Y,502900.0
4,2393.0,1861.0,2.0,3,1973,1996,10150.0,0,NorthAmes,Duplex,1Story,Y,439400.0
5,909.0,806.0,,1,1990,2018,12584.0,1,NorthAmes,1Fam,2Story,Y,373600.0
6,1035.0,1052.0,2.0,1,1965,1979,5019.0,2,Somerset,TwnhsE,1Story,Y,424500.0
8,2292.0,2164.0,3.0,3,1950,1952,8672.0,3,Gilbert,1Fam,2Story,Y,623100.0
7,1960.0,1197.0,3.0,2,2007,2021,1800.0,0,NorthAmes,TwnhsE,1Story,Y,522900.0
6,1149.0,883.0,2.0,1,1978,1982,10134.0,0,Edwards,TwnhsE,1Story,Y,372500.0
7,1915.0,1287.0,3.0,2,2014,2024,7705.0,0,CollegeCreek,TwnhsE,1Story,Y,558900.0
5,2116.0,1516.0,2.0,2,1948,1959,5477.0,1,Somerset,1Fam,1Story,Y,439100.0
6,1567.0,1650.0,3.0,2,2015,2024,10487.0,1,NorthAmes,1Fam,1Story,Y,489900.0
6,2672.0,1652.0,2.0,3,1936,1955,16096.0,0,Gilbert,1Fam,2Story,Y,515600.0
7,936.0,664.0,2.0,1,1933,1950,7059.0,0,OldTown,1Fam,1.5Fin,N,325800.0
7,1951.0,1473.0,2.0,2,2023,2024,5584.0,2,Crawford,1Fam,2Story,Y,564000.0
7,2150.0,1953.0,2.0,3,1955,1963,9726.0,1,NorthAmes,1Fam,2Story,Y,549600.0
6,1954.0,1694.0,2.0,2,1977,2002,4593.0,0,CollegeCreek,1Fam,1Story,Y,474200.0
7,1574.0,1116.0,2.0,2,1943,1951,6437.0,0,NorthAmes,2fmCon,1Story,Y,423400.0
6,1458.0,995.0,4.0,2,1982,1988,16501.0,0,Crawford,1Fam,1Story,N,441400.0
5,1687.0,1212.0,3.0,1,2010,2024,9238.0,1,Northridge,TwnhsE,1Story,Y,488700.0
6,1923.0,1637.0,2.0,3,1944,1950,3499.0,2,CollegeCreek,1Fam,2Story,Y,459800.0
6,1833.0,1348.0,3.0,2,1978,2000,3646.0,1,Somerset,TwnhsE,2Story,Y,509900.0
7,2097.0,2252.0,2.0,3,1951,1973,9711.0,0,Sawyer,Duplex,1Story,Y,519800.0
6,1152.0,958.0,4.0,1,2001,2024,13783.0,1,Edwards,1Fam,1Story,Y,436900.0
4,1324.0,833.0,1.0,2,1937,1957,3989.0,0,Edwards,1Fam,2Story,Y,279000.0
6,1185.0,1143.0,2.0,1,1956,1971,11213.0,0,CollegeCreek,1Fam,2Story,N,371000.0
6,1418.0,1084.0,1.0,2,1945,1953,17416.0,3,NorthAmes,1Fam,1Story,Y,392100.0
6,2006.0,1859.0,2.0,2,1928,1950,23016.0,0,Northridge,1Fam,1.5Fin,Y,538700.0
7,1705.0,1261.0,2.0,2,2018,2024,10568.0,0,Crawford,1Fam,SLvl,Y,517400.0
8,2835.0,2510.0,3.0,3,1983,2009,11538.0,3,Somerset,1Fam,1Story,Y,720400.0
5,1581.0,1559.0,1.0,2,1991,2009,3082.0,0,CollegeCreek,1Fam,1Story,Y,409900.0
5,1525.0,1623.0,1.0,1,1939,1958,25588.0,1,CollegeCreek,1Fam,2Story,Y,386700.0
5,1545.0,1129.0,1.0,1,1973,1989,6716.0,2,Gilbert,1Fam,1.5Fin,Y,375600.0
7,1392.0,1068.0,3.0,2,2005,2010,5615.0,1,Northridge,1Fam,1.5Fin,Y,560800.0
8,1716.0,1428.0,2.0,2,2002,2005,7882.0,0,Northridge,Duplex,1Story,Y,578700.0
6,2054.0,2185.0,2.0,2,1949,1950,19069.0,0,Sawyer,1Fam,1Story,N,443700.0
6,1628.0,1711.0,3.0,2,1972,1989,27012.0,0,Somerset,Duplex,2Story,Y,507000.0
8,1407.0,907.0,4.0,2,2011,2024,9535.0,0,NorthAmes,1Fam,2Story,Y,538600.0
7,1271.0,0.0,3.0,2,2018,2024,14751.0,1,NorthAmes,1Fam,1Story,Y,438000.0
7,1471.0,1247.0,2.0,2,1982,1994,9151.0,0,Northridge,1Fam,1.5Fin,Y,535900.0
4,1451.0,948.0,1.0,3,1930,1950,5330.0,0,Somerset,1Fam,2Story,Y,335200.0
7,2161.0,1670.0,3.0,2,1950,1972,18739.0,1,NorthAmes,1Fam,2Story,Y,526100.0
5,937.0,632.0,2.0,2,1968,1980,6561.0,1,NorthAmes,1Fam,1.5Fin,Y,336600.0
5,1366.0,1254.0,2.0,1,2022,2024,19298.0,1,Somerset,1Fam,2Story,Y,449700.0
6,1641.0,1764.0,2.0,1,2019,2024,17142.0,0,NorthAmes,1Fam,1Story,Y,460400.0
5,730.0,802.0,2.0,1,2013,2024,12174.0,1,NorthAmes,1Fam,2Story,Y,359000.0
6,1230.0,969.0,2.0,1,2006,2019,22348.0,1,Edwards,1Fam,1Story,Y,397500.0
4,1134.0,,2.0,1,1938,1950,27342.0,0,Gilbert,1Fam,2Story,Y,321000.0
7,1326.0,1363.0,2.0,1,1931,1950,8204.0,0,Somerset,1Fam,1Story,Y,467000.0
8,1821.0,1200.0,2.0,2,1934,1957,5977.0,0,CollegeCreek,1Fam,2Story,Y,530100.0
3,1273.0,1203.0,2.0,2,1950,1953,3526.0,1,Gilbert,1Fam,1Story,Y,334400.0
7,1427.0,1148.0,1.0,1,1962,1980,27511.0,0,CollegeCreek,2fmCon,1Story,Y,447800.0
5,1680.0,0.0,1.0,2,2020,2024,7188.0,2,CollegeCreek,1Fam,1Story,Y,415000.0
7,2384.0,1910.0,2.0,2,1956,1965,15796.0,1,Gilbert,1Fam,1Story,N,531700.0
6,2268.0,1447.0,4.0,2,1998,2001,6182.0,2,Somerset,2fmCon,2Story,Y,548500.0
6,772.0,732.0,3.0,1,1948,1967,19325.0,0,Northridge,1Fam,2Story,Y,409800.0
6,1822.0,1323.0,3.0,2,1945,1974,6310.0,0,Somerset,1Fam,2Story,Y,478200.0
8,1665.0,1258.0,3.0,2,1921,1950,4935.0,0,Edwards,1Fam,1Story,Y,480400.0
4,1485.0,981.0,3.0,2,2003,2015,8069.0,0,NorthAmes,1Fam,1Story,Y,378800.0
7,1493.0,1541.0,3.0,2,1934,1950,6864.0,1,OldTown,1Fam,1Story,Y,423400.0
8,1789.0,1515.0,3.0,2,1923,1950,12066.0,0,CollegeCreek,1Fam,1Story,Y,541300.0
7,1724.0,1528.0,3.0,2,2005,2016,8728.0,0,CollegeCreek,1Fam,1.5Fin,Y,518700.0
9,1577.0,1395.0,3.0,2,1969,1998,12257.0,0,Mitchell,1Fam,1Story,Y,584500.0
5,1124.0,905.0,2.0,1,1957,1974,7743.0,0,OldTown,2fmCon,1Story,Y,298400.0
7,1472.0,1025.0,2.0,2,1942,1971,6422.0,1,Northridge,TwnhsE,1Story,Y,503600.0
6,1678.0,1632.0,3.0,2,1978,1989,6689.0,1,Somerset,1Fam,1Story,Y,509000.0
8,1992.0,1322.0,3.0,2,2009,2024,24896.0,1,Sawyer,1Fam,2Story,Y,590100.0
6,1938.0,1263.0,2.0,3,1994,1998,10022.0,0,Edwards,1Fam,2Story,Y,435900.0
6,1372.0,1310.0,3.0,1,1947,1966,3321.0,2,Somerset,1Fam,1Story,Y,454100.0
8,1859.0,1310.0,1.0,2,1985,2009,6904.0,1,Edwards,1Fam,1Story,Y,517700.0
5,1904.0,1434.0,2.0,2,1927,1950,9400.0,0,NorthAmes,1Fam,1Story,Y,382100.0
4,1910.0,0.0,2.0,2,1948,1968,22532.0,0,Gilbert,Twnhs,1Story,Y,334800.0
5,1475.0,1216.0,2.0,2,1930,1954,14978.0,2,CollegeCreek,1Fam,1Story,Y,386800.0
7,1567.0,1495.0,2.0,2,2020,2024,5648.0,1,NorthAmes,1Fam,SLvl,Y,488300.0
8,1820.0,1659.0,3.0,2,1937,1950,30007.0,1,Somerset,1Fam,2Story,Y,596700.0
6,1097.0,1012.0,3.0,1,1974,2003,8817.0,0,NorthAmes,1Fam,2Story,Y,410400.0
8,1659.0,1588.0,4.0,2,1969,1986,16700.0,0,Crawford,TwnhsE,1Story,Y,566100.0
4,1733.0,1293.0,1.0,2,1933,1962,5027.0,1,Mitchell,1Fam,1Story,Y,330700.0
5,1770.0,1347.0,2.0,2,1993,2017,2700.0,1,Crawford,1Fam,2Story,Y,435100.0
6,1466.0,1201.0,3.0,2,2018,2020,4428.0,1,OldTown,1Fam,2Story,N,422400.0
6,1671.0,1259.0,1.0,1,1928,1950,1800.0,1,NorthAmes,1Fam,2Story,Y,405300.0
6,1234.0,1348.0,2.0,2,2018,2024,25746.0,0,Crawford,1Fam,1Story,Y,442300.0
7,1955.0,1969.0,3.0,2,1930,1950,9969.0,1,OldTown,1Fam,2Story,Y,464900.0
5,1467.0,1001.0,2.0,2,1982,1982,5640.0,2,Mitchell,1Fam,1Story,Y,401200.0
6,1464.0,882.0,2.0,1,1995,2011,11230.0,2,Mitchell,1Fam,1.5Fin,Y,387900.0
6,1428.0,887.0,2.0,2,1986,2010,9844.0,0,Northridge,1Fam,2Story,Y,464600.0
5,1474.0,1064.0,1.0,2,1972,1998,12216.0,0,CollegeCreek,1Fam,2Story,Y,385900.0
6,1392.0,915.0,2.0,1,1958,1965,16396.0,1,OldTown,1Fam,1Story,Y,339500.0
6,1856.0,,3.0,2,1997,2001,7747.0,1,Northridge,1Fam,2Story,Y,570100.0
6,1414.0,1455.0,2.0,2,1975,1979,5768.0,1,CollegeCreek,1Fam,1Story,Y,457000.0
